"gender","age","nsubj","trial_number","card_selected","rt_cardselection","win","loss","net_gain","totalcash_by_trial","confidence","rt_confidence","adv_choice","block"
"m",19,1,85,"C",610,50,-50,0,2700,3,442,1,5
"m",19,1,86,"C",502,50,0,50,2750,3,702,1,5
"m",19,1,87,"B",1382,100,0,100,2850,1,743,0,5
"m",19,1,88,"C",2065,50,-25,25,2875,3,2078,1,5
"m",19,1,89,"C",713,50,-75,-25,2850,3,552,1,5
"m",19,1,90,"C",688,50,0,50,2900,3,492,1,5
"m",19,1,91,"C",796,50,0,50,2950,3,513,1,5
"m",19,1,92,"C",591,50,0,50,3000,3,503,1,5
"m",19,1,93,"C",1273,50,-25,25,3025,3,608,1,5
"m",19,1,94,"C",648,50,-75,-25,3000,3,628,1,5
"m",19,1,95,"C",900,50,0,50,3050,3,502,1,5
"m",19,1,96,"C",686,50,-50,0,3050,3,499,1,5
"m",19,1,97,"C",824,50,0,50,3100,3,560,1,5
"m",19,1,98,"C",1042,50,0,50,3150,3,571,1,5
"m",19,1,99,"C",641,50,0,50,3200,3,477,1,5
"m",19,1,100,"C",613,50,-50,0,3200,3,500,1,5
"m",36,2,1,"D",3027,50,0,50,2050,1,2232,1,1
"m",36,2,2,"C",1112,50,0,50,2100,1,1343,1,1
"m",36,2,3,"B",976,100,0,100,2200,1,1553,0,1
"m",36,2,4,"A",938,100,0,100,2300,1,1808,0,1
"m",36,2,5,"B",1452,100,0,100,2400,2,2014,0,1
"m",36,2,6,"A",1201,100,0,100,2500,2,1536,0,1
"m",36,2,7,"B",990,100,0,100,2600,2,1348,0,1
"m",36,2,8,"A",752,100,-150,-50,2550,2,808,0,1
"m",36,2,9,"B",793,100,0,100,2650,3,1400,0,1
"m",36,2,10,"B",1881,100,0,100,2750,3,992,0,1
"m",36,2,11,"B",805,100,0,100,2850,3,777,0,1
"m",36,2,12,"B",648,100,0,100,2950,3,903,0,1
"m",36,2,13,"B",728,100,0,100,3050,4,911,0,1
"m",36,2,14,"B",610,100,-1250,-1150,1900,4,862,0,1
"m",36,2,15,"C",4664,50,0,50,1950,2,1624,1,1
"m",36,2,16,"C",745,50,-50,0,1950,2,663,1,1
"m",36,2,17,"D",680,50,0,50,2000,2,801,1,1
"m",36,2,18,"D",625,50,0,50,2050,2,744,1,1
"m",36,2,19,"D",561,50,0,50,2100,2,655,1,1
"m",36,2,20,"D",632,50,0,50,2150,2,633,1,1
"m",36,2,21,"D",665,50,0,50,2200,2,608,1,2
"m",36,2,22,"D",602,50,0,50,2250,2,695,1,2
"m",36,2,23,"D",569,50,0,50,2300,2,610,1,2
"m",36,2,24,"D",641,50,0,50,2350,3,1078,1,2
"m",36,2,25,"D",558,50,-250,-200,2150,4,692,1,2
"m",36,2,26,"D",761,50,0,50,2200,3,792,1,2
"m",36,2,27,"D",570,50,0,50,2250,3,806,1,2
"m",36,2,28,"D",549,50,0,50,2300,3,672,1,2
